CompName,closedate,OppStage,OppName,Desc,amount,prob
Geba,5/9/22,Discovery,Ameliorated asymmetric budgetary management,strategize out-of-the-box functionalities,1512098,20
Fatz,6/23/22,Upside,Organized uniform superstructure,strategize B2B systems,889709,60
Lajo,9/16/22,Upside,Optional discrete access,whiteboard web-enabled e-business,5598862,100
Eabox,8/26/22,Commit,Upgradable neutral instruction set,reintermediate clicks-and-mortar content,6518796,80
Flashspan,10/4/22,Lost,Reduced systematic emulation,orchestrate distributed e-commerce,8837430,60
Chatterpoint,8/5/22,Lost,Expanded high-level local area network,drive interactive vortals,7422692,80
Twitterbeat,8/3/22,Open,Compatible client-server info-mediaries,synthesize user-centric e-business,511076,40
Fivechat,5/13/22,Discovery,Re-contextualized real-time orchestration,transform transparent networks,240093,100
Twitterbeat,7/4/22,Lost,Exclusive client-driven implementation,envisioneer integrated schemas,8499165,40
Mynte,10/5/22,Lost,Multi-tiered disintermediate focus group,maximize collaborative deliverables,5254241,20
Skilith,5/26/22,Won,Networked asynchronous core,generate extensible interfaces,1661508,60
Gabvine,12/21/22,Open,Object-based context-sensitive capacity,redefine bleeding-edge e-commerce,5544270,100
Devshare,5/9/22,Lost,Public-key discrete hub,integrate ubiquitous e-tailers,4457044,100
Skinder,1/14/22,Won,Realigned mobile complexity,incentivize sticky channels,1326264,80
Yata,7/10/22,Commit,Realigned optimal time-frame,evolve extensible applications,1718769,40
Thoughtstorm,10/18/22,Open,Reactive homogeneous attitude,extend 24/365 ROI,8267429,20
Eabox,10/16/22,Lost,Secured attitude-oriented hardware,orchestrate bleeding-edge models,270980,60
Dynazzy,11/5/22,Won,Grass-roots multimedia service-desk,incubate vertical e-business,1198157,60
Quaxo,8/30/22,Open,Vision-oriented solution-oriented open architecture,envisioneer enterprise mindshare,5466010,80
Browsezoom,10/31/22,Lost,Multi-layered exuding attitude,transition back-end supply-chains,5035176,60
Dazzlesphere,1/15/23,Commit,Progressive radical encryption,mesh best-of-breed mindshare,8321429,20
InnoZ,1/21/22,Lost,Managed intermediate support,deploy dynamic bandwidth,749085,80
Buzzster,6/20/22,Commit,Switchable optimal success,grow innovative infomediaries,7127641,20
Shuffledrive,9/7/22,Discovery,Devolved foreground concept,productize proactive web services,5666639,100
Jabberstorm,9/20/22,Upside,Sharable zero defect extranet,aggregate real-time methodologies,7806455,80
Camimbo,4/17/22,Upside,Optional high-level infrastructure,harness bricks-and-clicks e-business,3764754,20
Realmix,2/21/23,Upside,Networked encompassing benchmark,engineer scalable e-commerce,6619569,40
Topdrive,6/9/22,Won,Persistent full-range Graphical User Interface,repurpose visionary portals,4536186,100
Tagchat,1/20/22,Discovery,Universal fault-tolerant encryption,target dynamic supply-chains,8321019,80
Demivee,11/2/22,Won,Function-based scalable throughput,engineer collaborative ROI,2413745,80
Plajo,3/13/22,Upside,Innovative client-driven firmware,recontextualize scalable vortals,5128576,80
Edgetag,1/2/23,Commit,Re-contextualized stable algorithm,brand transparent networks,8428272,60
Browsebug,12/25/22,Won,Re-engineered holistic neural-net,evolve intuitive systems,2407825,60
Linktype,7/31/22,Upside,Re-engineered asymmetric implementation,generate distributed e-services,1759702,80
Skidoo,1/19/22,Lost,Optional optimal data-warehouse,harness cross-media e-markets,6803689,60
Edgeblab,1/14/23,Discovery,Sharable real-time firmware,productize vertical bandwidth,8782507,100
Topicblab,10/22/22,Discovery,Vision-oriented exuding local area network,synthesize B2B initiatives,2098741,40
Miboo,5/15/22,Commit,Ergonomic multi-tasking algorithm,implement customized content,7120897,80
Twitterbridge,3/10/22,Commit,Progressive attitude-oriented help-desk,disintermediate wireless applications,4816094,40
Jatri,7/29/22,Commit,User-centric heuristic capacity,synthesize holistic bandwidth,5475255,80
Youopia,10/7/22,Upside,Re-contextualized actuating middleware,benchmark distributed networks,5452464,60
Photobean,1/18/23,Open,Intuitive zero tolerance website,matrix intuitive content,7287281,100
Jabbersphere,11/3/22,Open,Public-key value-added product,grow end-to-end metrics,5360451,40
Jabbersphere,2/21/23,Lost,Synergistic bottom-line matrices,engage e-business web services,5871685,100
Jaloo,7/20/22,Won,Integrated real-time customer loyalty,enable clicks-and-mortar methodologies,1473462,40
Cogibox,2/11/23,Discovery,Reduced context-sensitive policy,cultivate distributed functionalities,9810257,80
Tagcat,7/9/22,Open,User-centric holistic approach,whiteboard revolutionary web services,9598094,80
Brainbox,1/13/22,Commit,Phased reciprocal capacity,reintermediate strategic partnerships,6951956,60
Roombo,2/12/23,Commit,Devolved explicit approach,engineer end-to-end e-tailers,9861166,40
Browsebug,12/28/22,Won,Persistent static matrices,drive robust e-services,6783470,20
Flipopia,2/18/23,Open,Realigned multimedia implementation,recontextualize proactive methodologies,8251149,20
Vipe,1/8/22,Lost,Persistent disintermediate project,harness impactful content,1663474,100
Oyope,11/24/22,Commit,Multi-tiered human-resource structure,whiteboard world-class vortals,5149649,100
Oyondu,11/5/22,Upside,Configurable fault-tolerant infrastructure,e-enable mission-critical experiences,513856,80
Browsecat,6/5/22,Open,Devolved context-sensitive parallelism,evolve plug-and-play content,9874819,20
Jetwire,2/17/22,Open,Networked demand-driven methodology,innovate B2C markets,738366,80
Oozz,8/1/22,Lost,Fundamental disintermediate instruction set,generate user-centric web services,5266744,20
Centimia,10/3/22,Discovery,Configurable discrete moderator,repurpose virtual technologies,6602687,80
Babbleopia,2/28/22,Open,Up-sized mission-critical info-mediaries,transform real-time supply-chains,674035,80
Ainyx,5/30/22,Lost,Ameliorated clear-thinking throughput,revolutionize user-centric mindshare,1445532,40
Kazu,9/27/22,Won,Intuitive interactive core,extend integrated e-markets,6761042,40
Dabjam,1/26/23,Commit,Cross-group 3rd generation encryption,enhance seamless mindshare,6179685,100
Feedfish,1/10/23,Commit,Synergistic object-oriented concept,disintermediate intuitive systems,951719,100
Kwideo,9/15/22,Upside,Cross-group demand-driven capability,scale dynamic vortals,7832894,40
Yakitri,11/28/22,Upside,Reduced coherent moderator,morph bleeding-edge networks,2371384,20
Jabbercube,5/31/22,Commit,De-engineered context-sensitive time-frame,transform enterprise systems,9438018,80
Trudoo,2/24/23,Upside,Fully-configurable web-enabled knowledge base,engage integrated initiatives,1081024,80
Edgetag,10/12/22,Upside,Decentralized coherent paradigm,generate vertical architectures,703716,60
Oyope,8/4/22,Discovery,Optional scalable leverage,facilitate bleeding-edge mindshare,510054,100
Buzzster,10/15/22,Lost,Focused methodical project,drive killer web services,6305320,40
Fliptune,7/4/22,Lost,Implemented web-enabled forecast,synergize distributed convergence,3468449,40
Skyvu,8/26/22,Won,Organized systemic database,maximize holistic relationships,6352387,60
Shuffletag,3/15/22,Lost,Persistent motivating conglomeration,strategize 24/7 action-items,850590,80
Dabtype,7/31/22,Discovery,Stand-alone attitude-oriented adapter,scale out-of-the-box portals,8393068,80
BlogXS,1/2/23,Lost,Progressive holistic utilisation,expedite proactive metrics,8099920,80
Meedoo,6/16/22,Won,Focused fault-tolerant core,synergize revolutionary supply-chains,1033318,20
Gigaclub,2/2/22,Discovery,Business-focused demand-driven success,seize user-centric infomediaries,5964983,40
DabZ,2/9/22,Won,Grass-roots zero defect policy,enhance back-end portals,805006,40
Yodel,1/16/22,Upside,Distributed foreground matrices,empower viral methodologies,4480754,60
Jabberstorm,1/16/23,Won,Self-enabling web-enabled hardware,cultivate strategic paradigms,3190474,80
Divavu,5/22/22,Lost,Programmable non-volatile encryption,exploit intuitive niches,1545402,80
Meemm,6/28/22,Upside,Diverse systemic data-warehouse,leverage front-end communities,8093594,60
Kwilith,8/14/22,Commit,Cross-group analyzing matrices,unleash robust initiatives,2160719,80
Centizu,5/5/22,Open,Up-sized disintermediate definition,disintermediate front-end partnerships,7746846,80
Thoughtsphere,3/13/22,Upside,Organized asymmetric hardware,deliver e-business communities,8103203,40
Devify,10/2/22,Open,Reduced discrete pricing structure,mesh proactive e-commerce,3095011,60
Dabfeed,2/24/23,Open,Polarised value-added core,e-enable cutting-edge e-services,7925714,20
Rhybox,7/27/22,Upside,Synchronised real-time task-force,exploit web-enabled metrics,710418,100
Jabberstorm,11/10/22,Won,Digitized zero defect projection,synergize holistic models,4522416,20
Zoombox,1/4/23,Upside,Ergonomic systematic functionalities,visualize granular metrics,5368459,60
Photospace,4/8/22,Commit,Devolved solution-oriented policy,incentivize mission-critical technologies,8933936,100
Jabbercube,8/29/22,Discovery,Grass-roots intangible concept,scale viral technologies,547356,60
Mymm,7/25/22,Won,Upgradable upward-trending frame,deploy out-of-the-box e-tailers,673602,20
Zoovu,1/6/23,Upside,Reverse-engineered actuating firmware,recontextualize clicks-and-mortar web-readiness,9326238,80
Brightbean,3/31/22,Lost,Mandatory 5th generation firmware,envisioneer open-source synergies,5694040,20
Dabfeed,2/26/22,Upside,Mandatory leading edge application,redefine real-time niches,2187674,20
Bubblebox,7/24/22,Commit,Managed 24/7 definition,seize clicks-and-mortar metrics,8195071,40
Skipfire,1/12/23,Lost,Implemented full-range project,innovate dynamic solutions,9659529,80
Edgepulse,4/16/22,Upside,Streamlined context-sensitive monitoring,integrate user-centric technologies,1315060,60
Talane,2/12/22,Discovery,Right-sized neutral toolset,evolve granular niches,6167572,80
Rhyzio,1/3/23,Open,Profound uniform attitude,visualize bricks-and-clicks infrastructures,6379199,100
Zoovu,6/3/22,Commit,Versatile zero defect utilisation,cultivate revolutionary portals,7229689,20
Shufflebeat,11/14/22,Discovery,Vision-oriented 6th generation service-desk,visualize interactive e-commerce,9432793,40
Gigazoom,6/7/22,Commit,Focused coherent info-mediaries,cultivate virtual e-markets,8788180,20
Youspan,8/1/22,Commit,Adaptive needs-based secured line,mesh revolutionary eyeballs,520747,100
Dabshots,12/17/22,Open,Adaptive bi-directional customer loyalty,iterate ubiquitous e-business,7276193,60
Linkbridge,4/5/22,Won,Devolved system-worthy monitoring,facilitate killer vortals,2307972,100
Zooveo,10/22/22,Commit,Face to face clear-thinking productivity,visualize efficient portals,1552789,20
Npath,4/3/22,Won,Synchronised 5th generation groupware,envisioneer ubiquitous synergies,884665,100
Feedmix,2/16/22,Commit,User-centric global benchmark,envisioneer granular methodologies,1295549,80
Yakidoo,2/13/22,Upside,Proactive empowering budgetary management,morph magnetic content,80099,40
Eare,1/8/23,Won,Visionary homogeneous functionalities,maximize frictionless paradigms,9389550,80
Voolia,1/11/23,Upside,Managed 24/7 approach,whiteboard virtual infrastructures,9133210,40
Ntag,11/25/22,Upside,Future-proofed 24 hour superstructure,mesh real-time paradigms,2014428,80
Twiyo,9/21/22,Won,Compatible fresh-thinking hierarchy,evolve world-class platforms,6642739,40
Yozio,2/3/22,Upside,Upgradable mission-critical emulation,grow sticky schemas,5541214,20
Meembee,11/16/22,Lost,Programmable client-driven superstructure,engage rich systems,7135346,100
Geba,2/5/22,Open,Balanced radical Graphical User Interface,iterate interactive portals,2409128,20
Flipstorm,5/9/22,Won,Synergized real-time local area network,architect robust e-business,4114186,60
Jazzy,10/21/22,Commit,Extended secondary hub,target holistic infomediaries,7742323,80
Camido,8/11/22,Open,Multi-channelled system-worthy conglomeration,integrate wireless web services,1321903,40
Trilith,5/26/22,Discovery,Phased demand-driven open system,morph revolutionary channels,966872,60
Vitz,1/18/22,Upside,Total multimedia internet solution,synergize holistic e-markets,552895,40
Oyondu,8/16/22,Lost,Polarised neutral implementation,aggregate one-to-one infomediaries,7904259,100
Brainverse,2/11/23,Open,Reduced human-resource initiative,harness B2C ROI,7104655,100
Teklist,3/23/22,Discovery,Face to face asymmetric workforce,innovate mission-critical supply-chains,6746715,80
Wikibox,5/10/22,Commit,Optimized intermediate time-frame,monetize clicks-and-mortar mindshare,5257994,60
Youfeed,6/1/22,Upside,Seamless optimizing product,optimize e-business e-markets,6705607,80
DabZ,8/3/22,Lost,Profound full-range algorithm,productize best-of-breed deliverables,3972524,100
Browsebug,7/30/22,Open,Re-contextualized hybrid website,utilize clicks-and-mortar platforms,3548521,20
Skivee,7/10/22,Discovery,Customer-focused web-enabled throughput,unleash bricks-and-clicks schemas,8213519,40
Oyoba,2/5/23,Lost,Business-focused bifurcated benchmark,whiteboard innovative technologies,8196525,80
LiveZ,5/5/22,Won,Organic client-server architecture,innovate 24/365 methodologies,8653037,60
Thoughtsphere,3/25/22,Discovery,Centralized neutral hardware,monetize front-end eyeballs,8406258,20
Brightbean,2/7/22,Discovery,Quality-focused zero defect data-warehouse,envisioneer bricks-and-clicks infrastructures,9312211,100
Skyble,3/24/22,Upside,Intuitive dynamic structure,generate leading-edge mindshare,6299167,20
Meedoo,3/27/22,Commit,Organic bi-directional solution,target viral interfaces,4034941,60
Dabtype,2/3/22,Won,Open-architected client-server knowledge user,benchmark intuitive convergence,3996040,60
Mita,4/8/22,Discovery,Realigned impactful local area network,generate extensible solutions,4435099,60
Yotz,5/24/22,Discovery,Synergized real-time hierarchy,deploy strategic e-tailers,6102288,40
Blogtags,6/19/22,Won,Innovative heuristic product,utilize frictionless networks,3958003,80
Demivee,11/22/22,Discovery,Expanded content-based strategy,repurpose virtual communities,3344321,80
Jaloo,11/11/22,Open,Sharable analyzing concept,orchestrate frictionless platforms,1152485,40
Skinix,6/5/22,Commit,Synchronised cohesive capability,unleash interactive technologies,7221291,100
Ooba,5/22/22,Won,Digitized multi-state function,expedite sticky convergence,4868526,40
Zoovu,10/28/22,Discovery,Enhanced fault-tolerant solution,matrix extensible metrics,9690326,100
Kaymbo,5/24/22,Won,Visionary tertiary infrastructure,repurpose clicks-and-mortar networks,6388827,100
Twinder,12/28/22,Discovery,Diverse bifurcated orchestration,evolve value-added supply-chains,3457124,20
Kamba,8/4/22,Discovery,Programmable user-facing function,synthesize seamless communities,9007418,80
Voolia,11/23/22,Won,Networked intermediate complexity,maximize enterprise synergies,9933334,100
Edgeclub,11/22/22,Discovery,Reactive national adapter,visualize impactful eyeballs,8634419,40
Tanoodle,2/16/22,Commit,Configurable secondary process improvement,exploit open-source e-commerce,2932246,100
Zoomdog,9/5/22,Upside,Multi-tiered secondary hardware,incentivize one-to-one e-markets,3455949,40
Gigabox,11/18/22,Open,Organized methodical superstructure,maximize efficient channels,5441753,80
Npath,2/10/23,Open,Down-sized bottom-line firmware,utilize out-of-the-box content,8765942,80
Kwimbee,10/23/22,Commit,Managed uniform model,expedite cross-platform initiatives,4195929,20
Babblestorm,12/27/22,Open,Phased even-keeled internet solution,enhance strategic e-tailers,348614,60
Quamba,3/14/22,Open,Inverse motivating data-warehouse,synthesize cutting-edge partnerships,9218777,100
Thoughtblab,3/25/22,Upside,Reverse-engineered discrete moderator,syndicate transparent mindshare,8813920,100
Photofeed,11/12/22,Upside,Advanced motivating utilisation,leverage integrated convergence,4789914,40
Youtags,4/25/22,Won,Adaptive actuating initiative,morph one-to-one ROI,4448793,100
Thoughtsphere,3/29/22,Upside,Cross-platform methodical knowledge base,repurpose sexy paradigms,631276,20
Jabberstorm,6/5/22,Discovery,Up-sized zero defect customer loyalty,utilize cross-media functionalities,3555347,100
Jamia,2/19/22,Commit,Operative eco-centric forecast,empower sexy markets,3087007,100
Skinder,2/6/22,Open,Reverse-engineered full-range task-force,target magnetic action-items,6150278,60
Twitterbeat,9/30/22,Lost,Cross-platform neutral pricing structure,exploit revolutionary supply-chains,6249098,80
Livepath,12/4/22,Discovery,Ergonomic leading edge strategy,enhance next-generation action-items,3516866,40
Tagcat,12/29/22,Open,Enterprise-wide mobile service-desk,productize rich systems,2170260,40
InnoZ,4/11/22,Commit,De-engineered value-added middleware,redefine vertical models,3359138,40
Camimbo,5/4/22,Won,Re-contextualized hybrid access,unleash distributed methodologies,9912340,40
Topiclounge,1/29/22,Won,Extended background service-desk,mesh impactful models,8672926,80
Tazz,1/1/22,Discovery,Triple-buffered user-facing analyzer,mesh open-source channels,3503747,80
Midel,11/16/22,Open,Total system-worthy software,synergize magnetic models,1956895,100
Thoughtsphere,11/6/22,Upside,Grass-roots object-oriented emulation,matrix B2C web services,7409513,100
Vitz,3/18/22,Won,Innovative system-worthy process improvement,innovate compelling communities,7595051,100
Mydo,9/26/22,Won,Extended disintermediate system engine,revolutionize cross-media portals,1422959,40
Brightdog,9/28/22,Upside,Exclusive stable alliance,architect one-to-one eyeballs,2745533,100
Kwilith,2/1/22,Open,Horizontal bi-directional moratorium,orchestrate impactful applications,3829576,80
Photofeed,8/10/22,Commit,Reactive user-facing protocol,maximize visionary e-markets,5318753,40
Wordware,1/8/22,Won,Total holistic moratorium,benchmark extensible architectures,1847711,20
Twitternation,2/16/22,Upside,Multi-channelled client-driven middleware,synthesize out-of-the-box synergies,1720229,80
Innojam,2/13/23,Discovery,Upgradable systemic productivity,enable global mindshare,6211431,40
LiveZ,10/21/22,Upside,Cross-group system-worthy product,deliver impactful niches,4709990,80
Vinder,3/30/22,Open,Triple-buffered 4th generation forecast,architect clicks-and-mortar interfaces,5427062,60
Zoonoodle,6/14/22,Upside,Operative regional firmware,strategize visionary systems,2138028,100
Meembee,1/5/22,Upside,Persistent bi-directional methodology,engineer clicks-and-mortar eyeballs,9233917,60
Jatri,11/8/22,Commit,Realigned stable conglomeration,synthesize web-enabled schemas,9439029,80
Buzzster,3/7/22,Lost,Proactive disintermediate interface,engage compelling technologies,914962,60
Chatterbridge,11/20/22,Won,Networked responsive secured line,incentivize virtual action-items,6732531,60
Twinte,4/13/22,Won,Optimized multi-state frame,target front-end architectures,6379827,60
Twitterworks,5/16/22,Won,Visionary disintermediate hierarchy,iterate one-to-one infomediaries,7827207,20
Demivee,10/17/22,Upside,Compatible explicit structure,engineer innovative bandwidth,1965251,20
Dynava,4/9/22,Won,Devolved 24 hour initiative,engineer cutting-edge platforms,4105005,40
Tagchat,9/19/22,Won,Business-focused contextually-based model,monetize plug-and-play mindshare,4108986,40
Miboo,9/11/22,Upside,Integrated didactic customer loyalty,monetize wireless e-tailers,7684126,60
Rhyloo,9/14/22,Open,Phased bi-directional infrastructure,recontextualize proactive functionalities,5580130,80
Photojam,9/19/22,Won,Exclusive zero tolerance projection,integrate robust portals,5866717,20
Skajo,8/27/22,Discovery,Horizontal multimedia moratorium,embrace value-added synergies,6496981,60
Kazio,6/25/22,Upside,Stand-alone 6th generation system engine,synthesize one-to-one infomediaries,2705878,20
Cogidoo,12/21/22,Won,Configurable systematic project,implement compelling schemas,888976,60
Avaveo,11/25/22,Commit,Multi-channelled multi-tasking extranet,evolve efficient architectures,2114202,80
Zoombeat,5/29/22,Discovery,Cloned modular collaboration,innovate rich partnerships,5391684,20
DabZ,3/30/22,Upside,Object-based zero administration installation,brand bricks-and-clicks infomediaries,2627680,80
Bluezoom,12/7/22,Lost,Triple-buffered hybrid synergy,synthesize back-end networks,6560032,20
Layo,4/12/22,Won,Upgradable bandwidth-monitored collaboration,streamline strategic content,5412372,80
Browsecat,3/26/22,Lost,Switchable attitude-oriented array,productize B2C methodologies,967925,100
Yabox,9/27/22,Upside,Robust client-driven extranet,incentivize customized networks,3749416,20
Snaptags,2/24/22,Upside,Ameliorated static toolset,implement integrated convergence,1024977,40
Gevee,2/16/22,Won,Ameliorated dynamic throughput,e-enable plug-and-play niches,6732401,100
Omba,3/13/22,Open,Reverse-engineered client-server toolset,repurpose magnetic methodologies,5375296,80
Vinte,12/9/22,Won,Distributed bandwidth-monitored Graphic Interface,syndicate cross-platform networks,7237824,100
Trunyx,8/30/22,Commit,Robust impactful adapter,exploit frictionless vortals,2786217,40
Twitterbridge,6/7/22,Open,Adaptive value-added time-frame,engineer wireless communities,4290758,80
Zoombeat,5/5/22,Commit,Integrated next generation help-desk,deliver ubiquitous ROI,9102555,40
Trilia,12/31/22,Won,Mandatory local archive,deploy world-class experiences,450181,80
Livepath,1/1/23,Lost,Quality-focused empowering implementation,enhance dot-com e-business,5778087,20
Mydo,1/20/22,Open,Balanced disintermediate Graphical User Interface,redefine integrated partnerships,5183283,100
Thoughtblab,7/24/22,Won,Phased zero tolerance neural-net,e-enable world-class systems,267159,60
Yodoo,2/1/23,Lost,Re-engineered neutral firmware,monetize frictionless networks,6129026,80
Divape,2/25/23,Discovery,Visionary mission-critical analyzer,seize virtual web-readiness,3925636,20
Wordify,1/29/22,Open,Reactive needs-based website,deliver e-business infomediaries,3286645,20
Voonyx,2/27/23,Discovery,Grass-roots value-added projection,enable clicks-and-mortar functionalities,9679605,40
Thoughtbeat,8/18/22,Open,Balanced methodical complexity,innovate virtual systems,1273322,60
Trudeo,8/18/22,Commit,Reverse-engineered tangible structure,engineer best-of-breed niches,6889945,60
Vinder,8/3/22,Commit,Networked contextually-based intranet,integrate efficient portals,3058732,100
Fiveclub,1/19/23,Discovery,Implemented intermediate paradigm,matrix user-centric action-items,6762782,20
Bubbletube,1/13/23,Commit,Organized asymmetric interface,syndicate holistic systems,1971957,40
Zoozzy,7/12/22,Commit,Proactive coherent secured line,e-enable end-to-end ROI,5374138,20
Topicblab,1/22/22,Lost,Re-engineered demand-driven time-frame,morph open-source markets,1426658,40
Tagpad,2/18/23,Discovery,Digitized system-worthy flexibility,recontextualize clicks-and-mortar web-readiness,7846460,100
Skilith,5/12/22,Commit,Multi-lateral tertiary moratorium,seize customized methodologies,4620272,40
Divavu,6/13/22,Upside,Front-line hybrid project,deploy out-of-the-box niches,3337822,60
Voolith,7/13/22,Discovery,Total high-level analyzer,recontextualize frictionless markets,5893229,60
Voomm,5/21/22,Commit,Persevering multi-state knowledge base,benchmark back-end e-commerce,7866239,80
Babblestorm,2/3/23,Discovery,Multi-lateral web-enabled monitoring,leverage cross-media infrastructures,566274,100
Plambee,12/25/22,Open,Customer-focused explicit implementation,monetize transparent relationships,52710,40
Dablist,2/19/23,Lost,Multi-layered 3rd generation moratorium,target wireless technologies,5603299,40
Skipstorm,1/23/23,Upside,Centralized 3rd generation standardization,incentivize sexy paradigms,3340418,40
Linkbridge,4/6/22,Won,Up-sized clear-thinking project,matrix innovative e-services,718618,60
Jazzy,7/27/22,Open,Triple-buffered mission-critical challenge,engineer robust mindshare,8855981,80
Bubblemix,3/3/22,Upside,Profit-focused contextually-based moderator,morph world-class interfaces,4628369,100
Meembee,7/28/22,Open,Assimilated context-sensitive circuit,brand bricks-and-clicks technologies,3711439,100
Gabvine,3/24/22,Commit,Re-contextualized methodical process improvement,synthesize scalable content,6700012,40
Realcube,10/23/22,Won,Stand-alone human-resource info-mediaries,brand intuitive applications,6618964,80
Quatz,10/27/22,Won,Networked tertiary instruction set,strategize magnetic users,94716,40
Jaxbean,3/27/22,Commit,Persevering multi-tasking help-desk,e-enable sexy ROI,6039183,80
Innotype,2/10/23,Lost,Multi-lateral explicit task-force,evolve compelling models,8518721,80
Dabvine,10/15/22,Open,User-centric mobile instruction set,enable leading-edge applications,3342197,20
Meevee,12/30/22,Commit,Integrated bandwidth-monitored array,brand vertical models,9331926,40
Meetz,1/24/22,Open,Customizable global service-desk,empower granular relationships,3271576,80
Photobean,5/31/22,Commit,Persistent 6th generation array,incubate world-class bandwidth,7330164,80
Jazzy,7/23/22,Open,Synergistic needs-based success,recontextualize integrated initiatives,5169199,20
Kazio,12/29/22,Upside,Vision-oriented explicit Graphic Interface,enhance user-centric solutions,928755,20
Muxo,12/5/22,Won,Fundamental demand-driven utilisation,envisioneer bleeding-edge niches,3088147,60
Tekfly,4/21/22,Open,Robust disintermediate Graphic Interface,grow dynamic schemas,8939621,60
Jabbercube,1/14/22,Discovery,Customizable content-based emulation,recontextualize best-of-breed partnerships,7267041,80
Divape,3/1/22,Won,Seamless empowering infrastructure,integrate cross-platform action-items,3052533,60
Photospace,5/10/22,Commit,Front-line mission-critical definition,e-enable magnetic mindshare,5111886,100
Browsetype,11/23/22,Upside,Stand-alone impactful access,enhance integrated systems,2964718,80
Twitterbridge,1/15/22,Lost,Function-based grid-enabled knowledge user,utilize magnetic models,9435216,80
Dynava,1/18/22,Upside,Universal local leverage,drive B2C schemas,1956104,20
Tavu,6/3/22,Won,Ameliorated background application,monetize wireless relationships,7334965,60
Skidoo,10/14/22,Discovery,Managed 24/7 intranet,generate 24/7 synergies,1606736,20
Podcat,9/29/22,Upside,Horizontal background support,scale viral architectures,3288574,20
Blogpad,7/13/22,Upside,Persevering human-resource local area network,target plug-and-play convergence,5971627,100
Zoonoodle,2/22/23,Open,Vision-oriented 24 hour benchmark,innovate B2C eyeballs,9063932,40
Youopia,8/6/22,Won,Organic attitude-oriented open system,e-enable out-of-the-box methodologies,9548655,20
Photolist,3/19/22,Lost,Synergistic demand-driven capacity,e-enable back-end web-readiness,6787721,20
Twitterwire,7/16/22,Lost,Assimilated radical contingency,seize extensible experiences,1150806,60
Pixope,10/9/22,Open,Synergized radical architecture,leverage holistic technologies,4815892,20
Realmix,11/30/22,Discovery,Advanced high-level system engine,architect web-enabled action-items,2894874,40
Rhyzio,8/1/22,Upside,Centralized human-resource access,leverage efficient e-services,144140,100
Eimbee,9/4/22,Commit,Compatible responsive attitude,morph revolutionary solutions,2293076,40
Demivee,11/7/22,Upside,Persevering directional support,matrix innovative action-items,6207526,100
Mybuzz,5/10/22,Won,Organic global success,monetize visionary niches,9691603,20
Kazu,7/24/22,Upside,Sharable 5th generation secured line,integrate B2C synergies,9749317,40
Kare,8/27/22,Lost,Team-oriented holistic parallelism,recontextualize proactive action-items,4489762,20
InnoZ,4/21/22,Discovery,Vision-oriented maximized extranet,embrace seamless communities,8845100,100
Mynte,2/17/22,Upside,Multi-lateral client-driven local area network,cultivate global e-business,2558021,20
Oloo,7/18/22,Upside,Multi-layered dynamic model,optimize enterprise communities,8001656,40
Skyba,7/2/22,Won,Streamlined heuristic archive,expedite next-generation functionalities,2708834,40
Devshare,12/20/22,Lost,Multi-tiered uniform parallelism,mesh compelling technologies,6942201,20
Divanoodle,8/29/22,Discovery,Centralized radical internet solution,embrace wireless deliverables,3637438,60
Photojam,2/22/23,Lost,Streamlined optimal matrix,streamline vertical solutions,9631591,60
Feedbug,3/3/22,Lost,Adaptive intangible firmware,matrix collaborative architectures,2790473,60
Flipstorm,8/13/22,Lost,Enhanced background ability,empower end-to-end architectures,5581661,60
Skynoodle,9/25/22,Won,Devolved value-added utilisation,monetize extensible deliverables,271171,100
Cogibox,4/20/22,Commit,Proactive needs-based toolset,reinvent dot-com e-services,2498381,40
Eire,3/3/23,Commit,Universal scalable initiative,envisioneer one-to-one infomediaries,8164931,40
Quinu,1/13/22,Won,Polarised bottom-line support,whiteboard robust content,7675884,100
Linklinks,3/7/23,Discovery,Reactive user-facing knowledge base,aggregate cross-media infomediaries,5837624,40
Trilia,8/18/22,Commit,Inverse web-enabled analyzer,deploy holistic relationships,7375374,60
Pixope,3/17/22,Commit,Managed mission-critical circuit,monetize 24/7 technologies,4796283,60
Mycat,12/6/22,Open,Fully-configurable human-resource forecast,morph B2C content,4221291,20
Riffwire,2/28/23,Open,Fully-configurable directional application,synergize strategic e-commerce,3914135,20
Devcast,5/20/22,Upside,Focused uniform software,reintermediate ubiquitous vortals,6485371,100
Agivu,11/30/22,Won,Down-sized 3rd generation hardware,visualize leading-edge networks,7527183,40
Twimbo,2/5/22,Won,Universal next generation knowledge user,envisioneer cutting-edge relationships,1349834,40
Quire,10/15/22,Won,Monitored clear-thinking model,optimize strategic content,8150569,100
Fivechat,2/1/23,Commit,Digitized heuristic moratorium,utilize rich applications,8072314,60
Agimba,2/19/23,Lost,Optimized responsive secured line,whiteboard holistic experiences,7102824,20
Voolith,8/15/22,Lost,Enhanced transitional installation,utilize dynamic channels,2069931,80
Brainlounge,10/30/22,Lost,Phased contextually-based capability,generate 24/365 partnerships,493596,100
Fanoodle,1/20/23,Won,Focused bottom-line conglomeration,orchestrate real-time metrics,1057619,60
Fivechat,1/27/22,Discovery,Open-source composite access,reinvent B2C platforms,3910818,40
Jabbertype,3/29/22,Open,Triple-buffered multimedia groupware,optimize user-centric content,437013,100
